Data Source,World Development Indicators,,,,,,
,,,,,,,
Last Updated Date,7/1/2025,,,,,,
,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.23,80.573,80.434,81.648
Czechia,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.22682927,77.22195122,78.92926829,79.87804878
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.04146341,80.7902439,80.60804878,80.54146341
Djibouti,DJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.2,63.83,65.54,65.987
Dominica,DMA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.269,69.832,71.081,71.132
Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.60243902,81.40487805,81.30487805,81.85365854
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.636,71.757,74.211,73.72
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.257,75.208,76.129,76.261
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.69763933,75.27814184,75.93254094,75.88068309
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.88013085,68.17909948,71.43045525,71.79624498
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.54343761,76.15300938,76.67678344,76.65951833
Europe & Central Asia (excluding high income),ECA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.55895735,72.88743297,74.57862234,74.79871528
Europe & Central Asia,ECS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.17574845,76.72872669,77.83611309,78.38701832
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.004,72.746,76.577,77.392
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.79,68.976,71.01,71.633
Euro area,EMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.48735717,81.58393304,81.62122375,82.19200762
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.98,66.94,67.789,68.624
Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.23170732,83.17804878,83.13414634,83.88292683
Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.59512195,76.94390244,77.84390244,78.4902439
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.969,65.33,66.897,67.315
European Union,EUU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.44147547,80.30719644,80.71298184,81.41145038
Fragile and conflict affected situations,FCS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.08818298,61.63212679,62.72768319,63.37328126
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.93170732,81.88536585,81.18780488,81.68536585
Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.924,64.904,67.148,67.316
France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.17560976,82.32439024,82.12926829,82.92926829
Faroe Islands,FRO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.64390244,82.84390244,82.94390244,83.14390244
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.878,66.152,66.961,67.198
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.073,67.072,67.713,68.337
United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.3317561,80.64731707,81.01121951,81.23809756
