Country Name,Happiness score_2020,upperwhisker_2020,lowerwhisker_2020,Logged GDP per capita_2020,Social support_2020,Healthy life expectancy_2020,Freedom to make life choices_2020,Generosity_2020,Perceptions of corruption_2020,Happiness score_2021,upperwhisker_2021,lowerwhisker_2021,Logged GDP per capita_2021,Social support_2021,Healthy life expectancy_2021,Freedom to make life choices_2021,Generosity_2021,Perceptions of corruption_2021,Happiness score_2022,upperwhisker_2022,lowerwhisker_2022,Logged GDP per capita_2022,Social support_2022,Healthy life expectancy_2022,Freedom to make life choices_2022,Generosity_2022,Perceptions of corruption_2022,Happiness score_2023,upperwhisker_2023,lowerwhisker_2023,Logged GDP per capita_2023,Social support_2023,Healthy life expectancy_2023,Freedom to make life choices_2023,Generosity_2023,Perceptions of corruption_2023
Benin,5.21600008,5.368408203,5.063591957,7.674319744,0.468671143,54.31246567,0.735182583,-0.003537213,0.740532577,5.045,5.189,4.901,8.087,0.489,54.713,0.757,-0.034,0.661,4.623,4.754,4.492,0.932,0.064,0.335,0.479,0.127,0.23,4.374,4.504,4.244,8.103,0.437,56.095,0.743,-0.043,0.576
Ghana,5.147999763,5.262923717,5.033075809,8.350645065,0.728601098,57.20398712,0.794796526,0.094170853,0.847964764,5.088,5.219,4.958,8.58,0.727,57.586,0.807,0.123,0.848,4.872,4.999,4.745,1.112,0.595,0.409,0.5,0.23,0.056,4.605,4.729,4.481,8.596,0.641,58.763,0.777,0.139,0.881
Nepal,5.137199879,5.250276566,5.024123192,7.925357342,0.785512447,63.77917862,0.797565043,0.154168829,0.738099158,5.269,5.406,5.132,8.12,0.774,64.233,0.782,0.152,0.727,5.377,5.502,5.251,0.984,0.784,0.499,0.519,0.237,0.13,5.36,5.507,5.214,8.256,0.748,61.847,0.808,0.146,0.783
China,5.123899937,5.174667358,5.073132515,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539711,5.339,5.397,5.281,9.673,0.811,69.593,0.904,-0.146,0.755,5.585,5.65,5.52,1.508,0.958,0.705,0.656,0.099,0.142,5.818,5.905,5.731,9.738,0.836,68.689,0.882,-0.041,0.727
Bulgaria,5.101500034,5.188173294,5.014826775,9.869318962,0.937840343,66.80397797,0.745178163,-0.143908441,0.935585141,5.266,5.371,5.16,10.016,0.931,67,0.788,-0.096,0.932,5.371,5.485,5.257,1.625,1.163,0.64,0.563,0.123,0.021,5.466,5.582,5.35,10.087,0.918,66.5,0.801,-0.057,0.911
Morocco,5.094799995,5.203875065,4.985724926,8.940313339,0.592628479,65.89624023,0.772072434,-0.240377247,0.815724611,4.918,5.036,4.8,8.903,0.56,66.208,0.774,-0.236,0.801,5.06,5.181,4.938,1.208,0.268,0.565,0.492,0.02,0.102,4.903,5.023,4.783,8.973,0.553,63.901,0.787,-0.231,0.811
Cameroon,5.084899902,5.216800213,4.952999592,8.118647575,0.700386405,52.7049408,0.763051808,-0.00149645,0.851336598,5.142,5.288,4.996,8.189,0.71,53.515,0.731,0.026,0.848,5.048,5.188,4.907,0.968,0.672,0.317,0.397,0.152,0.074,4.973,5.112,4.834,8.217,0.686,55.847,0.686,0.015,0.846
Algeria,5.005099773,5.09180212,4.918397427,9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,0.735485137,4.887,4.991,4.783,9.342,0.802,66.005,0.48,-0.067,0.752,5.122,5.215,5.03,1.363,0.97,0.643,0.146,0.106,0.15,5.329,5.451,5.207,9.3,0.855,66.549,0.571,-0.117,0.717
Senegal,4.980800152,5.084227562,4.877372742,8.118982315,0.723616004,59.59915161,0.690596163,-0.052335154,0.808785141,5.132,5.266,4.998,8.118,0.71,59.802,0.695,-0.046,0.801,5.046,5.171,4.921,0.933,0.53,0.447,0.494,0.143,0.081,4.855,4.983,4.727,8.155,0.629,59.999,0.772,0.011,0.846
Guinea,4.949299812,5.09246254,4.806137085,7.750990391,0.637573481,54.46780014,0.706846774,0.076328471,0.761794448,4.984,5.16,4.808,7.838,0.639,55.008,0.697,0.095,0.766,4.891,5.028,4.753,0.848,0.566,0.275,0.334,0.214,0.116,5.072,5.213,4.931,7.88,0.649,54.185,0.659,0.125,0.787
Albania,4.882699966,4.992686749,4.772713184,9.417930603,0.671070457,68.70813751,0.781994224,-0.042309489,0.896303713,5.117,5.234,5.001,9.52,0.697,68.999,0.785,-0.03,0.901,5.199,5.321,5.076,1.439,0.646,0.719,0.511,0.138,0.028,5.277,5.406,5.148,9.567,0.718,69.15,0.794,-0.007,0.878
Cambodia,4.848400116,4.962093353,4.734706879,8.249890327,0.773080647,61.52996826,0.959704638,0.051911179,0.822769046,4.83,4.963,4.698,8.36,0.765,62,0.959,0.034,0.843,4.64,4.765,4.516,1.019,0.732,0.505,0.74,0.166,0.068,4.393,4.508,4.279,8.385,0.747,61.9,0.958,0.073,0.857
Bangladesh,4.832799911,4.911443233,4.75415659,8.287063599,0.687292993,64.50306702,0.90062499,-0.033664726,0.661843538,5.025,5.115,4.934,8.454,0.693,64.8,0.877,-0.041,0.682,5.155,5.262,5.049,1.06,0.614,0.581,0.622,0.125,0.187,4.282,4.416,4.148,8.685,0.544,64.548,0.845,0.005,0.698
Gabon,4.829299927,4.947425842,4.711174011,9.680537224,0.787886858,59.71533966,0.704829216,-0.222261623,0.849150956,4.852,4.998,4.706,9.603,0.776,59.962,0.731,-0.2,0.84,4.958,5.091,4.826,1.459,0.738,0.396,0.343,0.032,0.099,5.035,5.175,4.894,9.537,0.746,58.252,0.642,-0.187,0.786
South Africa,4.814099789,4.931746006,4.696453571,9.403370857,0.852532268,56.50601196,0.759330094,-0.109777324,0.843423843,4.956,5.074,4.839,9.403,0.86,56.904,0.749,-0.067,0.86,5.194,5.315,5.073,1.425,1.088,0.361,0.442,0.089,0.046,5.275,5.417,5.132,9.478,0.907,56.989,0.73,-0.087,0.902
Iraq,4.784800053,4.937272072,4.632328033,9.661095619,0.747694969,59.90354919,0.633182645,-0.06956476,0.82226181,4.854,4.97,4.738,9.24,0.746,60.583,0.63,-0.053,0.875,4.941,5.099,4.783,1.289,0.682,0.554,0.328,0.147,0.046,4.941,5.099,4.783,9.098,0.718,63.415,0.646,-0.005,0.876
Lebanon,4.771500111,4.857257843,4.685742378,9.3617239,0.824338138,67.10658264,0.551357508,-0.06121527,0.90225625,4.584,4.691,4.477,9.626,0.848,67.355,0.525,-0.073,0.898,2.955,3.049,2.862,1.392,0.498,0.631,0.103,0.082,0.034,2.392,2.479,2.305,9.478,0.53,66.149,0.474,-0.141,0.891
Burkina Faso,4.768700123,4.890351772,4.647048473,7.46854496,0.712943614,53.88945389,0.665563583,-0.019080516,0.739795029,4.834,4.993,4.675,7.678,0.672,54.151,0.695,-0.009,0.748,4.67,4.814,4.527,0.779,0.565,0.32,0.382,0.186,0.126,4.638,4.819,4.456,7.667,0.663,55.461,0.696,0.095,0.771
Mali,4.729300022,4.855451107,4.603148937,7.629852295,0.731468976,51.72698212,0.71156615,-0.044366926,0.839328408,4.723,4.884,4.563,7.744,0.724,51.969,0.697,-0.036,0.827,4.479,4.611,4.347,0.792,0.483,0.311,0.35,0.128,0.042,4.198,4.319,4.076,7.655,0.593,55.403,0.713,-0.028,0.846
Nigeria,4.724100113,4.826248169,4.621952057,8.57662487,0.73721689,49.86190796,0.759578407,0.033745807,0.861874342,4.759,4.861,4.658,8.533,0.74,50.102,0.737,0.037,0.878,4.552,4.651,4.453,1.079,0.732,0.3,0.444,0.175,0.038,4.981,5.136,4.825,8.496,0.74,54.891,0.718,0.073,0.911
Armenia,4.676799774,4.791646481,4.561953068,9.100476265,0.757479429,66.75065613,0.712017834,-0.13877961,0.773544788,5.283,5.397,5.168,9.487,0.799,67.055,0.825,-0.168,0.629,5.399,5.519,5.278,1.434,0.82,0.668,0.558,0.054,0.21,5.342,5.47,5.213,9.615,0.79,67.789,0.796,-0.155,0.705
Georgia,4.672599792,4.757698059,4.587501526,9.226100922,0.629033029,64.49520874,0.801641524,-0.22892037,0.665944695,4.891,4.998,4.785,9.585,0.671,64.3,0.783,-0.238,0.655,4.973,5.079,4.867,1.467,0.612,0.595,0.508,0,0.208,5.109,5.219,5,9.646,0.716,64.95,0.786,-0.254,0.649
Jordan,4.633399963,4.748552322,4.518247604,9.025999069,0.80216372,66.79975128,0.75104779,-0.162565202,0.700344324,4.395,4.516,4.273,9.182,0.767,67,0.755,-0.167,0.705,4.152,4.276,4.029,1.324,0.724,0.675,0.476,0.058,0.2,4.12,4.242,3.997,9.13,0.729,67.6,0.77,-0.15,0.687
Mozambique,4.623600006,4.778996944,4.468203068,7.069345951,0.723874032,54.20582199,0.864451885,0.032375868,0.683019102,4.794,4.997,4.592,7.158,0.744,54.706,0.882,0.061,0.684,5.048,5.273,4.823,0.578,0.66,0.191,0.593,0.185,0.2,4.954,5.181,4.727,7.116,0.692,51.53,0.851,0.047,0.66
Kenya,4.583000183,4.715898037,4.450102329,8.02977562,0.702652037,60.09693146,0.829747558,0.294681519,0.831499159,4.607,4.747,4.466,8.361,0.688,60.704,0.779,0.287,0.825,4.543,4.683,4.403,1.032,0.605,0.401,0.44,0.322,0.082,4.487,4.616,4.357,8.458,0.69,58.499,0.696,0.288,0.852
Namibia,4.571100235,4.690628052,4.451572418,9.203141212,0.846880972,56.50148773,0.767520964,-0.18530646,0.851449788,4.574,4.7,4.448,9.161,0.818,56.799,0.719,-0.149,0.847,4.459,4.593,4.326,1.292,0.877,0.354,0.384,0.067,0.071,4.631,4.766,4.496,9.121,0.787,56.851,0.669,-0.126,0.83
Ukraine,4.56069994,4.658080578,4.463319302,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706,0.920636714,4.875,4.977,4.773,9.436,0.888,64.902,0.724,-0.011,0.924,5.084,5.19,4.978,1.411,1.081,0.583,0.473,0.188,0.017,5.071,5.187,4.956,9.314,0.878,64.55,0.795,0.24,0.907
Uganda,4.43200016,4.566251278,4.297749043,7.500389576,0.764994621,55.70820236,0.731713951,0.099487431,0.836737812,4.636,4.78,4.493,7.677,0.781,56.101,0.709,0.122,0.855,4.603,4.747,4.459,0.777,0.875,0.418,0.402,0.222,0.066,4.432,4.607,4.258,7.716,0.794,58.913,0.701,0.114,0.857
Tunisia,4.392199993,4.489554405,4.294845581,9.314972878,0.688718557,66.89785767,0.593361557,-0.216413811,0.867590249,4.596,4.709,4.484,9.266,0.691,67.201,0.656,-0.201,0.87,4.516,4.629,4.403,1.35,0.596,0.656,0.316,0.029,0.029,4.497,4.601,4.393,9.244,0.73,67,0.576,-0.213,0.907
Sri Lanka,4.327000141,4.431047916,4.222952366,9.389969826,0.825374067,67.20006561,0.837633669,0.081129618,0.859001756,4.325,4.454,4.196,9.47,0.827,67.299,0.841,0.079,0.863,4.362,4.487,4.237,1.415,0.934,0.66,0.529,0.15,0.079,4.442,4.603,4.28,9.491,0.826,67.15,0.787,-0.03,0.808
Myanmar,4.308000088,4.392180443,4.223819733,8.680481911,0.78440702,58.96171188,0.895075202,0.560663998,0.645124316,4.426,4.527,4.324,8.541,0.779,59.302,0.876,0.509,0.66,4.394,4.511,4.277,1.038,0.829,0.491,0.513,0.452,0.194,4.372,4.533,4.212,8.404,0.787,61.388,0.727,0.491,0.658
Togo,4.187200069,4.309713364,4.064686775,7.357711315,0.551312625,54.71989822,0.649828613,0.002667875,0.757733464,4.107,4.258,3.956,7.362,0.569,54.914,0.619,0.032,0.772,4.112,4.272,3.953,0.771,0.322,0.36,0.292,0.174,0.132,4.137,4.289,3.986,7.673,0.595,57.449,0.657,0.024,0.74
Ethiopia,4.186200142,4.262473583,4.109926701,7.509385586,0.743307352,58.63959122,0.740795195,0.043377332,0.753690004,4.275,4.374,4.175,7.694,0.764,59,0.752,0.082,0.761,4.241,4.365,4.118,0.788,0.809,0.457,0.472,0.205,0.136,4.091,4.273,3.908,7.739,0.782,60.698,0.72,0.273,0.789
Sierra Leone,3.926399946,4.046255589,3.806544304,7.26880312,0.636142015,50.86514282,0.715315044,0.088660747,0.861330688,3.849,4.001,3.698,7.434,0.63,51.651,0.717,0.084,0.866,3.574,3.732,3.416,0.686,0.416,0.273,0.387,0.202,0.055,3.138,3.299,2.976,7.394,0.555,54.9,0.66,0.105,0.858
Zambia,3.759399891,3.878326178,3.640473604,8.224720001,0.698824465,55.29937744,0.806500256,0.078037128,0.801289678,4.073,4.209,3.938,8.145,0.708,55.809,0.782,0.061,0.823,3.76,3.902,3.618,0.93,0.577,0.306,0.525,0.203,0.083,3.982,4.167,3.797,8.074,0.694,55.032,0.791,0.098,0.818
India,3.573299885,3.627596378,3.519003391,8.849823952,0.592200935,60.21518707,0.881444871,0.057551607,0.772042692,3.819,3.869,3.769,8.755,0.603,60.633,0.893,0.089,0.774,3.777,3.828,3.726,1.167,0.376,0.471,0.647,0.198,0.123,4.036,4.092,3.98,8.759,0.608,60.777,0.897,0.072,0.774
Malawi,3.538000107,3.675710678,3.400289536,7.062226295,0.544007301,57.59288788,0.803223193,0.021433279,0.731700778,3.6,3.781,3.419,6.958,0.537,57.948,0.78,0.038,0.729,3.75,3.941,3.56,0.648,0.279,0.388,0.477,0.14,0.157,3.495,3.671,3.32,7.302,0.531,58.475,0.75,0.005,0.749
Tanzania,3.476200104,3.600091219,3.352308989,7.967665195,0.688933194,57.49607468,0.82153976,0.109668687,0.619799435,3.623,3.762,3.485,7.876,0.702,57.999,0.833,0.183,0.577,3.702,3.847,3.558,0.848,0.597,0.425,0.578,0.248,0.27,3.694,3.84,3.547,7.857,0.653,59.401,0.838,0.182,0.554
Zimbabwe,3.299200058,3.414201975,3.184198141,7.865711689,0.763092756,55.61725998,0.711457908,-0.072063953,0.81023699,3.145,3.259,3.03,7.943,0.75,56.201,0.677,-0.047,0.821,2.995,3.11,2.88,0.947,0.69,0.27,0.329,0.106,0.105,3.204,3.323,3.084,7.641,0.69,54.05,0.654,-0.046,0.766
Afghanistan,2.566900015,2.628270388,2.505529642,7.462860584,0.470366955,52.59000015,0.396573007,-0.0964294,0.933686554,2.523,2.596,2.449,7.695,0.463,52.493,0.382,-0.102,0.924,2.404,2.469,2.339,0.758,0,0.289,0,0.089,0.005,1.859,1.923,1.795,7.324,0.341,54.712,0.382,-0.081,0.847
