Country Name,Internet Users_2020,Internet Users_2021,Internet Users_2022,Internet Users_2023,GDP_2020,GDP_2021,GDP_2022,GDP_2023,Education Expenditure_2020,Education Expenditure_2021,Education Expenditure_2022,Education Expenditure_2023,Healthcare Expenditure_2020,Healthcare Expenditure_2021,Healthcare Expenditure_2022,Healthcare Expenditure_2023,Unemployment Rate_2020,Unemployment Rate_2021,Unemployment Rate_2022,Unemployment Rate_2023,Life Expectancy_2020,Life Expectancy_2021,Life Expectancy_2022,Life Expectancy_2023,Population in Urban Areas_2020,Population in Urban Areas_2021,Population in Urban Areas_2022,Population in Urban Areas_2023
Belgium,91.5,92.8,94,94.6,45906.28758,51658.23829,50822.25185,54690.09427,6.801859856,6.355519772,0,0,11.26481915,11.04724503,10.76192474,0,5.545,6.248,5.57,5.528,80.69512195,81.7902439,81.74878049,82.39756098,27.06791047,27.12970911,27.07359714,26.97117937
Belize,64.4,70.7,71.8,72.4,5227.193638,6122.611586,7068.454783,7459.998151,5.216320038,5.948790073,4.596509933,4.25564003,5.35447645,5.05842113,4.23173904,0,10.784,10.322,8.763,8.267,71.58,70.917,72.19,73.566,0,0,0,0
Benin,22.1,28.2,30,32.2,1200.194266,1318.651581,1266.42711,1394.177847,3.094415188,3.203484297,3.377859116,0,2.7123611,2.58129549,2.67981386,0,1.502,1.779,1.685,1.657,60.154,59.61,60.475,60.774,0,0,0,0
Bermuda,0,0,0,0,106976.5462,112765.0817,121613.94,132604.4391,1.890087724,1.884916902,1.922213435,1.933646798,0,0,0,0,0,0,0,0,81.456,81.745,82.062,82.309,0,0,0,0
Bhutan,76.9,85.6,86.3,88.4,3191.66907,3570.61258,3711.32768,3839.409304,5.543412685,6.598386288,7.469820023,5.845185757,4.08451509,3.0729053,4.38545895,0,5.03,4.803,5.947,3.126,72.253,72.448,72.754,72.975,0,0,0,0
Bolivia,59.9,66,67.4,70.2,3099.942191,3384.844865,3643.92827,3686.279964,8.437109947,7.962150097,7.575500011,0,8.0225811,8.159729,8.43142891,0,7.903,5.089,3.552,3.024,62.906,61.427,67.434,68.581,41.25142737,41.60960212,41.90538599,42.10973575
Bosnia and Herzegovina,73.2,75.7,78.8,83.4,6130.311332,7295.343824,7655.59421,8663.02323,3.019540787,4.136229992,0,0,9.70311832,9.55514336,8.71644783,0,15.868,14.897,12.657,10.668,76.04,74.567,76.777,77.85,0,0,0,0
Botswana,69.5,78.7,80.4,81.4,6323.297498,7807.887945,8328.709057,7826.353765,8.058336258,0,0,0,6.1213398,6.30754805,5.72838593,0,21.017,23.106,23.615,23.381,67.643,63.303,68.749,69.163,0,0,0,0
Brazil,81.3,80.7,80.5,84.2,7074.193783,7972.53665,9281.333344,10377.58928,5.771500111,5.49698019,0,0,9.62326527,9.63646507,9.14277458,0,13.697,13.158,9.231,7.947,74.506,73.038,74.872,75.848,43.05981905,43.33583851,43.62212584,43.87326521
British Virgin Islands,0,0,0,0,0,0,0,0,2.705389977,2.86991334,2.484019995,0,0,0,0,0,0,0,0,0,76.894,75.297,77.177,77.276,0,0,0,0
Brunei Darussalam,96.3,97.6,99,99,26834.35925,31006.96362,36632.92804,32890.54925,0,0,0,0,2.45178461,2.14642429,1.81768215,0,7.409,4.905,5.191,5.183,75.114,74.869,72.917,75.327,0,0,0,0
Bulgaria,70.2,75.3,79.1,80.4,10769.94757,12972.21734,13999.67192,15883.86185,4.505139828,4.73032999,0,0,8.48235893,8.61892796,7.66357517,0,5.125,5.267,4.268,4.319,73.35609756,71.21219512,74.16097561,75.70731707,19.55468549,19.73646217,19.90363022,19.98130486
