Data Source,World Development Indicators,,,,,,
,,,,,,,
Last Updated Date,7/1/2025,,,,,,
,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Comoros,COM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Cabo Verde,CPV,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Costa Rica,CRI,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,27.8017488,28.07384128,28.36266533,28.63542927
Caribbean small states,CSS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Cuba,CUB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,19.15135294,19.2666214,19.40077687,19.50039433
Curacao,CUW,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Cayman Islands,CYM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Cyprus,CYP,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Czechia,CZE,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,12.20559293,12.49026725,12.35073488,12.18090836
Germany,DEU,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,9.630831067,9.661285956,9.620804128,9.632185665
Djibouti,DJI,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Dominica,DMA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Denmark,DNK,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,23.09023693,23.19736959,23.21061176,23.22206401
Dominican Republic,DOM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,30.13893153,30.46537791,30.7871774,31.09882259
Algeria,DZA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,6.284127155,6.275891483,6.275555969,6.285842288
