Data Source,World Development Indicators,,,,,,
,,,,,,,
Last Updated Date,7/1/2025,,,,,,
,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Early-demographic dividend,EAR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
East Asia & Pacific,EAS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Europe & Central Asia (excluding high income),ECA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Europe & Central Asia,ECS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Ecuador,ECU,Individuals using the Internet (% of population),IT.NET.USER.ZS,70.7,69.1,69.7,72.7
"Egypt, Arab Rep.",EGY,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.9,72.1,72.2,72.7
Euro area,EMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Eritrea,ERI,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.3,18.4,18.7,20
Spain,ESP,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.2,93.9,94.5,95.4
Estonia,EST,Individuals using the Internet (% of population),IT.NET.USER.ZS,89.1,91,91.5,93.2
Ethiopia,ETH,Individuals using the Internet (% of population),IT.NET.USER.ZS,16.1,16.7,,
European Union,EUU,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Fragile and conflict affected situations,FCS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Finland,FIN,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.2,92.8,93,93.5
Fiji,FJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,68.6,74.5,78.2,79.3
France,FRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.7,86.1,85.3,86.8
Faroe Islands,FRO,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
"Micronesia, Fed. Sts.",FSM,Individuals using the Internet (% of population),IT.NET.USER.ZS,39.4,,,
Gabon,GAB,Individuals using the Internet (% of population),IT.NET.USER.ZS,63.9,68.6,70.7,71.9
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.8,96.2,96.3,96.3
Georgia,GEO,Individuals using the Internet (% of population),IT.NET.USER.ZS,72.5,76.4,78.7,81.9
Ghana,GHA,Individuals using the Internet (% of population),IT.NET.USER.ZS,62.5,68.6,69.4,69.9
Gibraltar,GIB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Guinea,GIN,Individuals using the Internet (% of population),IT.NET.USER.ZS,23.4,24.3,24.7,26.5
"Gambia, The",GMB,Individuals using the Internet (% of population),IT.NET.USER.ZS,34.2,37.6,44,45.9
Guinea-Bissau,GNB,Individuals using the Internet (% of population),IT.NET.USER.ZS,20.5,23.4,27.6,32.5
Equatorial Guinea,GNQ,Individuals using the Internet (% of population),IT.NET.USER.ZS,55,58.7,59.3,60.4
Greece,GRC,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.1,78.5,83.2,85
Grenada,GRD,Individuals using the Internet (% of population),IT.NET.USER.ZS,67.4,70.6,74.3,74.1
Greenland,GRL,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Guatemala,GTM,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.5,50.8,55.4,56.1
Guam,GUM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Guyana,GUY,Individuals using the Internet (% of population),IT.NET.USER.ZS,63,71.7,78.4,81.7
High income,HIC,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.5,90,91.1,92.3
"Hong Kong SAR, China",HKG,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.4,93.1,95.6,96
Honduras,HND,Individuals using the Internet (% of population),IT.NET.USER.ZS,45.2,52,56.4,58.3
Heavily indebted poor countries (HIPC),HPC,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Croatia,HRV,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.3,81.3,82.1,83.2
Haiti,HTI,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Hungary,HUN,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.8,88.6,89.1,91.5
IBRD only,IBD,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
IDA & IBRD total,IBT,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
IDA total,IDA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
IDA blend,IDB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Indonesia,IDN,Individuals using the Internet (% of population),IT.NET.USER.ZS,53.7,62.1,66.5,69.2
IDA only,IDX,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Isle of Man,IMN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,43.4,,55.9,
Not classified,INX,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Ireland,IRL,Individuals using the Internet (% of population),IT.NET.USER.ZS,92,96.4,96.6,96.5
"Iran, Islamic Rep.",IRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,75.6,78.6,79.1,79.6
Iraq,IRQ,Individuals using the Internet (% of population),IT.NET.USER.ZS,53.7,65,78.7,81.7
Iceland,ISL,Individuals using the Internet (% of population),IT.NET.USER.ZS,99.5,99.7,99.8,99.8
Israel,ISR,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.1,90.3,91.9,87
Italy,ITA,Individuals using the Internet (% of population),IT.NET.USER.ZS,70.5,74.9,85.1,87
Jamaica,JAM,Individuals using the Internet (% of population),IT.NET.USER.ZS,76.4,82.4,82.4,83.4
Jordan,JOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.4,86,90.5,92.5
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.2,82.9,84.9,87
Kazakhstan,KAZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,85.9,90.9,92.3,92.9
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,35
Kyrgyz Republic,KGZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,72,77.1,82.6,88.5
Cambodia,KHM,Individuals using the Internet (% of population),IT.NET.USER.ZS,53.7,58,59.7,60.7
Kiribati,KIR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,88
St. Kitts and Nevis,KNA,Individuals using the Internet (% of population),IT.NET.USER.ZS,70.3,74.4,75.6,76.4
"Korea, Rep.",KOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.5,97.6,97.2,97.4
Kuwait,KWT,Individuals using the Internet (% of population),IT.NET.USER.ZS,99.1,99.7,99.7,99.7
Latin America & Caribbean (excluding high income),LAC,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Lao PDR,LAO,Individuals using the Internet (% of population),IT.NET.USER.ZS,54,62,62.7,63.6
Lebanon,LBN,Individuals using the Internet (% of population),IT.NET.USER.ZS,82.1,82.7,82.8,83.5
Liberia,LBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,19.4,20.6,21.9,23.5
Libya,LBY,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.6,88.6,88.6,88.5
St. Lucia,LCA,Individuals using the Internet (% of population),IT.NET.USER.ZS,62.1,63.1,65.4,70.1
Latin America & Caribbean,LCN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Least developed countries: UN classification,LDC,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Low income,LIC,Individuals using the Internet (% of population),IT.NET.USER.ZS,18.4,20.9,23.1,24.4
Liechtenstein,LIE,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.3,95.6,96.5,97.3
Sri Lanka,LKA,Individuals using the Internet (% of population),IT.NET.USER.ZS,36.2,44.5,48.3,51.2
Lower middle income,LMC,Individuals using the Internet (% of population),IT.NET.USER.ZS,42.9,46.6,48.8,50.9
Low & middle income,LMY,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Lesotho,LSO,Individuals using the Internet (% of population),IT.NET.USER.ZS,43.7,45.1,46.5,48
Late-demographic dividend,LTE,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Lithuania,LTU,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.1,86.9,87.7,88.5
Luxembourg,LUX,Individuals using the Internet (% of population),IT.NET.USER.ZS,98.5,98.7,98.2,99.3
Latvia,LVA,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.9,91.2,91,92.2
"Macao SAR, China",MAC,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.5,88.5,88,89.2
St. Martin (French part),MAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Morocco,MAR,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.1,88.1,89.9,91
Monaco,MCO,Individuals using the Internet (% of population),IT.NET.USER.ZS,98.6,99.1,99.1,99.1
Moldova,MDA,Individuals using the Internet (% of population),IT.NET.USER.ZS,58.2,74.5,76.7,80.2
Madagascar,MDG,Individuals using the Internet (% of population),IT.NET.USER.ZS,11.4,13.7,18.6,20.4
Maldives,MDV,Individuals using the Internet (% of population),IT.NET.USER.ZS,79.1,82,83.9,84.7
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Mexico,MEX,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.5,75.6,78.6,81.2
Marshall Islands,MHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,56.4,64,64.8,65.7
Middle income,MIC,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
North Macedonia,MKD,Individuals using the Internet (% of population),IT.NET.USER.ZS,81.4,81.9,85,87.2
Mali,MLI,Individuals using the Internet (% of population),IT.NET.USER.ZS,29.1,34,34.4,35.1
Malta,MLT,Individuals using the Internet (% of population),IT.NET.USER.ZS,86.9,87.5,91.5,92.1
Myanmar,MMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,45.4,56.5,58,58.5
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Montenegro,MNE,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.6,82.2,88.2,89.8
Mongolia,MNG,Individuals using the Internet (% of population),IT.NET.USER.ZS,62.5,81.6,82.2,83
Northern Mariana Islands,MNP,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Mozambique,MOZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.3,16.4,18.8,19.8
Mauritania,MRT,Individuals using the Internet (% of population),IT.NET.USER.ZS,27.4,30,34.3,37.4
Mauritius,MUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,67.7,71.6,75.5,79.5
Malawi,MWI,Individuals using the Internet (% of population),IT.NET.USER.ZS,13.9,17.5,17,18
Malaysia,MYS,Individuals using the Internet (% of population),IT.NET.USER.ZS,89.6,96.8,97.4,97.7
North America,NAC,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Namibia,NAM,Individuals using the Internet (% of population),IT.NET.USER.ZS,57.9,60.3,61.1,64.4
New Caledonia,NCL,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Niger,NER,Individuals using the Internet (% of population),IT.NET.USER.ZS,17,17.5,23.3,23.2
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,31.9,35.5,37.7,39.2
Nicaragua,NIC,Individuals using the Internet (% of population),IT.NET.USER.ZS,42.2,47.1,49.1,58.2
Netherlands,NLD,Individuals using the Internet (% of population),IT.NET.USER.ZS,91.3,92.1,92.5,97
Norway,NOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.6,99,99,99
Nepal,NPL,Individuals using the Internet (% of population),IT.NET.USER.ZS,38.9,45.3,53.9,55.8
Nauru,NRU,Individuals using the Internet (% of population),IT.NET.USER.ZS,81.7,,,
New Zealand,NZL,Individuals using the Internet (% of population),IT.NET.USER.ZS,95.2,96.1,96.2,96.2
OECD members,OED,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Oman,OMN,Individuals using the Internet (% of population),IT.NET.USER.ZS,95.2,95.2,95.2,95.3
Other small states,OSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Pakistan,PAK,Individuals using the Internet (% of population),IT.NET.USER.ZS,18.9,21.4,24.2,27.4
Panama,PAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,70,77,77.7,78
Peru,PER,Individuals using the Internet (% of population),IT.NET.USER.ZS,65.3,71.1,74.7,79.5
Philippines,PHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,53.8,66.9,75.2,83.8
Palau,PLW,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Papua New Guinea,PNG,Individuals using the Internet (% of population),IT.NET.USER.ZS,24.4,23.2,23.7,24.1
Poland,POL,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.2,85.4,86.9,86.4
Pre-demographic dividend,PRE,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Puerto Rico (US),PRI,Individuals using the Internet (% of population),IT.NET.USER.ZS,,84.8,87.3,
"Korea, Dem. People's Rep.",PRK,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Portugal,PRT,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.3,82.3,84.5,85.8
Paraguay,PRY,Individuals using the Internet (% of population),IT.NET.USER.ZS,74,77,76.3,78.1
West Bank and Gaza,PSE,Individuals using the Internet (% of population),IT.NET.USER.ZS,76,82.2,88.6,86.6
Pacific island small states,PSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Post-demographic dividend,PST,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
French Polynesia,PYF,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Qatar,QAT,Individuals using the Internet (% of population),IT.NET.USER.ZS,99.7,99.7,99.7,99.7
Romania,ROU,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.5,83.6,85.5,89.2
Russian Federation,RUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,85,88.2,90.4,92.2
Rwanda,RWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,23.8,24.4,31.2,34.2
South Asia,SAS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Saudi Arabia,SAU,Individuals using the Internet (% of population),IT.NET.USER.ZS,97.9,100,100,100
Sudan,SDN,Individuals using the Internet (% of population),IT.NET.USER.ZS,26.4,,,
Senegal,SEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,53.3,57.3,59.2,60.6
Singapore,SGP,Individuals using the Internet (% of population),IT.NET.USER.ZS,92,96.9,96,94.3
Solomon Islands,SLB,Individuals using the Internet (% of population),IT.NET.USER.ZS,33.2,41.8,42.1,42.5
Sierra Leone,SLE,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.1,18.7,19.2,20.6
El Salvador,SLV,Individuals using the Internet (% of population),IT.NET.USER.ZS,54.6,61.8,65.5,67.7
San Marino,SMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,78,81.7,85.1,87
Somalia,SOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,15,,27.6,
Serbia,SRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.4,81.2,83.5,85.4
Sub-Saharan Africa (excluding high income),SSA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
South Sudan,SSD,Individuals using the Internet (% of population),IT.NET.USER.ZS,9.27,,,
Sub-Saharan Africa,SSF,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Small states,SST,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Sao Tome and Principe,STP,Individuals using the Internet (% of population),IT.NET.USER.ZS,51.6,61.5,61.6,61.5
Suriname,SUR,Individuals using the Internet (% of population),IT.NET.USER.ZS,69.8,76.6,77.6,78.4
Slovak Republic,SVK,Individuals using the Internet (% of population),IT.NET.USER.ZS,89.9,88.9,89.1,87.2
Slovenia,SVN,Individuals using the Internet (% of population),IT.NET.USER.ZS,86.6,89,88.9,90.4
Sweden,SWE,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.5,94.7,95,95.7
Eswatini,SWZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,49,54,57.5,57.6
Sint Maarten (Dutch part),SXM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Seychelles,SYC,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.8,87.3,87,87.4
Syrian Arab Republic,SYR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Turks and Caicos Islands,TCA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Chad,TCD,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.34,13.1,12.5,13.2
East Asia & Pacific (IDA & IBRD countries),TEA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Togo,TGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,29,30.3,35.5,37
Thailand,THA,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.8,85.3,88,89.5
Tajikistan,TJK,Individuals using the Internet (% of population),IT.NET.USER.ZS,27.5,49.8,53.1,56.8
Turkmenistan,TKM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Timor-Leste,TLS,Individuals using the Internet (% of population),IT.NET.USER.ZS,32,35,34.5,34
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Tonga,TON,Individuals using the Internet (% of population),IT.NET.USER.ZS,,57.5,57.7,58.5
South Asia (IDA & IBRD),TSA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Trinidad and Tobago,TTO,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.3,84.4,84.5,84.7
